The copyright to the intellectual property of this file is held by www.climatedata.info,,,,
Source,http://www.ncdc.noaa.gov/paleo/treering.html,,,
,20yr-ma,Canada,Campbell,Mt Cain
,,,Sziecz,Parish
1600,,872.5,720,1025
1601,,900.5,933,868
1602,,804.5,704,905
1603,,788,842,734
1604,,926,1001,851
1605,,808,775,841
1606,,947.5,970,925
1607,,910.5,842,979
1608,,931.5,854,1009
1609,,902,898,906
1610,915.3095238,1015,1098,932
1611,922.3095238,948.5,982,915
1612,925.6190476,938,952,924
1613,932.7380952,1029.5,932,1127
1614,934.8571429,962,888,1036
1615,932.6904762,854.5,838,871
1616,935.0714286,920,940,900
1617,935.0714286,949,943,955
1618,938.9047619,859,998,720
1619,944.2619048,874,1012,736
1620,948.9285714,1081,1270,892
1621,946.2857143,1019.5,1129,910
1622,950.9761905,970,1088,852
1623,953.8809524,954,977,931
1624,947.3809524,832.5,903,762
1625,945.0238095,880.5,1031,730
1626,950.6904762,858,890,826
1627,950.952381,947.5,1006,889
1628,949.6190476,991,1168,814
1629,955.2142857,1044,1106,982
1630,957.047619,1000,1046,954
1631,951.7380952,959.5,949,970
1632,952.5238095,1047,952,1142
1633,949.452381,999,1038,960
1634,945.6428571,893,803,983
1635,951.4285714,912.5,819,1006
1636,953.9047619,973.5,977,970
1637,953.0952381,925.5,930,921
1638,953.952381,921,923,919
1639,953.5238095,976.5,1077,876
1640,944.5,912.5,929,896
1641,945.547619,969.5,1005,934
1642,948.952381,1036,980,1092
1643,951.6666667,905.5,937,874
1644,949.7619048,874,912,836
1645,954.5,954,1038,870
1646,961.3095238,932.5,945,920
1647,968.047619,841,759,923
1648,969.3333333,965.5,1028,903
1649,972.3333333,982,1000,964
1650,980.3571429,854.5,828,881
1651,987.5952381,1022,920,1124
1652,989.0952381,1031,937,1125
1653,984.547619,1104,1137,1071
1654,987.1666667,959,879,1039
1655,995.8095238,992.5,973,1012
1656,997.6190476,1055.5,1055,1056
1657,995.0238095,1115,1139,1091
1658,996.3333333,952.5,836,1069
1659,998.6904762,984,841,1127
1660,989.952381,1145,1085,1205
1661,993.547619,1064.5,975,1154
1662,986.0952381,1001,1104,898
1663,986.4285714,940.5,979,902
1664,988.4285714,960.5,1031,890
1665,994.8809524,1055.5,1120,991
1666,996.1904762,992,1065,919
1667,994.5238095,878,885,871
1668,991.8571429,868.5,956,781
1669,997.2857143,1015,991,1039
1670,1000.428571,798.5,731,866
1671,995.3333333,930,954,906
1672,996.6428571,865.5,814,917
1673,997.1904762,1038,919,1157
1674,1005.404762,1146,914,1378
1675,1005.02381,1094.5,848,1341
1676,1008.190476,1020,925,1115
1677,1013.380952,1020.5,1071,970
1678,1021.02381,1059,1189,929
1679,1019,1066.5,916,1217
1680,1015.952381,1050,1086,1014
1681,1025.309524,1038,1088,988
1682,1033.285714,1092,1187,997
1683,1045,1012.5,935,1090
1684,1047.690476,1113,1140,1086
1685,1047.47619,952.5,644,1261
1686,1039.5,1122,1169,1075
1687,1033.47619,1101,892,1310
1688,1027.214286,1038.5,895,1182
1689,1012.428571,826,667,985
1690,1006.595238,951,982,920
1691,993.4761905,995,997,993
1692,1000.595238,1097.5,1132,1063
1693,989.5714286,1111.5,1135,1088
1694,988.3571429,1094.5,1335,854
1695,980.7142857,1141.5,1213,1070
1696,981.4761905,927,1065,789
1697,975.3571429,893.5,1157,630
1698,976.1428571,889,1027,751
1699,980.6666667,748.5,741,756
1700,995.4285714,944,961,927
1701,1002.333333,774.5,576,973
1702,1009.857143,1187.5,1060,1315
1703,1014.119048,860.5,711,1010
1704,1009.785714,987,743,1231
1705,1006.285714,952.5,708,1197
1706,997.2857143,968.5,831,1106
1707,994.8333333,993.5,851,1136
1708,1003.261905,1117.5,965,1270
1709,1011.285714,1133.5,1019,1248
1710,1022.738095,1136,911,1361
1711,1023.190476,1096,1010,1182
1712,1033.285714,1153,1028,1278
1713,1024.095238,1187,993,1381
1714,1032.571429,1020.5,803,1238
1715,1033.261905,1021,1057,985
1716,1037.833333,952.5,912,993
1717,1044.928571,875.5,872,879
1718,1046.214286,1070.5,1083,1058
1719,1047.880952,1057.5,996,1119
1720,1050.190476,989,940,1038
1721,1050.357143,953.5,758,1149
1722,1040.52381,986.5,801,1172
1723,1040.809524,994.5,865,1124
1724,1034.119048,1038.5,1121,956
1725,1047.357143,1001.5,1082,921
1726,1046.452381,1048.5,1069,1028
1727,1057.47619,1117.5,1286,949
1728,1062.809524,1020.5,1044,997
1729,1058.97619,1152.5,1288,1017
1730,1047.119048,1182,1437,927
1731,1045.714286,1139.5,1239,1040
1732,1039.428571,889.5,822,957
1733,1036.785714,1159,1455,863
1734,1030.452381,1046.5,1332,761
1735,1021.571429,1298.5,1621,976
1736,1018.738095,1002,1051,953
1737,1015.166667,1184,1484,884
1738,1005.952381,987.5,1079,896
1739,1004.642857,990,1054,926
1740,998.7857143,808.5,733,884
1741,986.7142857,959.5,988,931
1742,971.0952381,821.5,909,734
1743,975.8333333,931,1040,822
1744,962.1428571,861.5,839,884
1745,948.8571429,852,866,838
1746,926.0952381,942,937,947
1747,919.7380952,973.5,1092,855
1748,905.9761905,924,1092,756
1749,906.6904762,993,1143,843
1750,910.2857143,1029.5,1180,879
1751,926.8333333,928.5,1083,774
1752,925.3333333,811.5,887,736
1753,928.7619048,989,1148,830
1754,928.3095238,871.5,1006,737
1755,935.3571429,767.5,790,745
1756,947.9047619,820.5,911,730
1757,955.1904762,868.5,998,739
1758,960.5,895,1051,739
1759,961.952381,1002.5,1137,868
1760,964.1190476,1065.5,1247,884
1761,966.0952381,1156,1306,1006
1762,993.7857143,928,978,878
1763,1016.095238,893.5,755,1032
1764,1032.809524,921.5,854,989
1765,1055.047619,1009.5,718,1301
1766,1092.333333,1115.5,943,1288
1767,1123.333333,1095,1030,1160
1768,1138.809524,1085,1049,1121
1769,1151.904762,954.5,784,1125
1770,1156.119048,1038.5,1004,1073
1771,1151.047619,1071,876,1266
1772,1134.5,1510,1583,1437
1773,1136.166667,1280,1247,1313
1774,1139.428571,1340,1340,1340
1775,1134.666667,1338.5,1472,1205
1776,1131.761905,1550.5,1554,1547
1777,1119.095238,1471.5,1543,1400
1778,1105.666667,1193.5,1160,1227
1779,1090.119048,1170,1285,1055
1780,1086.452381,1091,1193,989
1781,1090.690476,959,1123,795
1782,1091.833333,808.5,748,869
1783,1071.47619,963,955,971
1784,1065.952381,962,1033,891
1785,1057.833333,821.5,712,931
1786,1059.761905,948.5,1118,779
1787,1035.190476,849.5,1036,663
1788,1020.190476,813,914,712
1789,1010.238095,758.5,769,748
1790,1013.595238,877.5,921,834
1791,1012.809524,1127.5,1285,970
1792,1017.833333,1095,1055,1135
1793,1030.214286,1082.5,979,1186
1794,1047.214286,1164,1014,1314
1795,1057.5,1169.5,1106,1233
1796,1071.880952,1379,1116,1642
1797,1083.047619,1034.5,944,1125
1798,1091.714286,1156.5,1229,1084
1799,1104.547619,984.5,941,1028
1800,1111.142857,1240.5,1239,1242
1801,1109.571429,1074.5,1054,1095
1802,1093.238095,1064.5,995,1134
1803,1087.5,1068.5,986,1151
1804,1077.809524,1320,1241,1399
1805,1067.047619,1178,845,1511
1806,1061.285714,1123.5,1143,1104
1807,1041.714286,1183,1286,1080
1808,1041.857143,1031.5,1239,824
1809,1034.047619,1082.5,1244,921
1810,1036.761905,897,1124,670
1811,1025.357143,844.5,1016,673
1812,1021.642857,784.5,925,644
1813,1014.404762,974.5,1248,701
1814,1005.119048,879,952,806
1815,984.7380952,938,1075,801
1816,972.3571429,1048.5,1051,1046
1817,954.0714286,968,988,948
1818,956.5952381,1037.5,1045,1030
1819,955.3571429,992.5,982,1003
1820,944.4761905,1041.5,914,1169
1821,944.8571429,1001,784,1218
1822,947.7142857,996.5,889,1104
1823,956.3333333,912.5,844,981
1824,958.1428571,873.5,816,931
1825,961.6666667,892,829,955
1826,968.0714286,918,860,976
1827,961.1666667,739.5,595,884
1828,954.5714286,1236,1465,1007
1829,949.3809524,1005.5,1048,963
1830,948.2380952,854,860,848
1831,937.7142857,905,927,883
1832,926.9285714,904.5,932,877
1833,930.1904762,965.5,917,1014
1834,933.7857143,1012.5,1060,965
1835,935.952381,953,886,1020
1836,943.5714286,1072.5,1041,1104
1837,947.6904762,903.5,832,975
1838,957.8809524,829.5,717,942
1839,935.952381,928.5,876,981
1840,926.3809524,968.5,943,994
1841,930.7380952,820.5,734,907
1842,929.8809524,774.5,732,817
1843,934.9285714,1065,947,1183
1844,934.8571429,988,886,1090
1845,936.952381,919,660,1178
1846,939.2380952,1052,852,1252
1847,937.547619,1004.5,799,1210
1848,944.6666667,953.5,796,1111
1849,953.5714286,775.5,619,932
1850,959.547619,804.5,691,918
1851,963.9761905,945.5,716,1175
1852,969.0714286,887,726,1048
1853,979.4761905,1010.5,844,1177
1854,973.3571429,964,884,1044
1855,980.7142857,1056.5,981,1132
1856,985.3809524,1001,1020,982
1857,987,1037,1126,948
1858,992.047619,1053,1084,1022
1859,1004.52381,1016.5,988,1045
1860,1022.166667,1054,1023,1085
1861,1042.880952,1061.5,1123,1000
1862,1049.333333,927.5,989,866
1863,1051.857143,993,1029,957
1864,1046.761905,936.5,693,1180
1865,1047.071429,1142.5,1248,1037
1866,1035.166667,1017,1094,940
1867,1028.714286,1086,1127,1045
1868,1024.071429,1110.5,1034,1187
1869,1023.119048,1215.5,1255,1176
1870,1018.809524,1146,1241,1051
1871,1008.690476,1239.5,1371,1108
1872,1005.52381,1081,1143,1019
1873,998.6904762,940,1031,849
1874,998.7380952,903.5,966,841
1875,999.0714286,970.5,1147,794
1876,993.4761905,806.5,927,686
1877,983.1428571,865.5,969,762
1878,981.6190476,939.5,964,915
1879,980.047619,1033,1105,961
1880,961.047619,926,992,860
1881,956.952381,841.5,751,932
1882,937.2857143,995,1225,765
1883,928.4285714,784,742,826
1884,921.2380952,994,1045,943
1885,923.3095238,943.5,918,969
1886,925.4285714,1025,1176,874
1887,935.1190476,800,799,801
1888,936.0238095,1054,1211,897
1889,937.4285714,1077.5,1247,908
1890,935.952381,816.5,742,891
1891,934.547619,1060,1035,1085
1892,938.5238095,826.5,597,1056
1893,938.9047619,895,871,919
1894,955.0714286,789,833,745
1895,959.5714286,947,1036,858
1896,969.1428571,1015,1015,
1897,971.9285714,1010,1025,995
1898,983.7619048,884.5,858,911
1899,985.8571429,969,1081,857
1900,987.2857143,1002,915,1089
1901,991.0714286,896.5,906,887
1902,979.9047619,925,886,964
1903,987.6666667,1003,933,1073
1904,994.9047619,1123.5,986,1261
1905,1005.047619,1088.5,932,1245
1906,1008.714286,1144.5,1151,1138
1907,1008.142857,1083.5,1079,1088
1908,1009.5,1048.5,982,1115
1909,1013.97619,1098,1210,986
1910,1010.357143,1107.5,1272,943
1911,1003.190476,896,919,873
1912,1003.928571,825.5,725,926
1913,1015.904762,989.5,1002,977
1914,1023.166667,1047,1066,1028
1915,1019.880952,1002,1014,990
1916,1021.238095,1024,1144,904
1917,1020.880952,1003,1084,922
1918,1026.809524,1038.5,1055,1022
1919,1024.595238,978.5,1110,847
1920,1023.833333,893,995,791
1921,1019.666667,851.5,1026,677
1922,1026.595238,912,1114,710
1923,1037.047619,1176.5,1437,916
1924,1043.571429,1155.5,1233,1078
1925,1054.809524,1054.5,1139,970
1926,1060.190476,1117,1389,845
1927,1065.642857,1137,1453,821
1928,1074.309524,1208,1517,899
1929,1075.119048,1002,1157,847
1930,1078.309524,1082,1311,853
1931,1093.47619,1020,1121,919
1932,1106.952381,1041.5,1134,949
1933,1112.547619,1045,1241,849
1934,1105.452381,1126.5,1250,1003
1935,1104.404762,1283,1489,1077
1936,1106.5,1115,1232,998
1937,1105.071429,1138.5,1321,956
1938,1106.047619,1185,1167,1203
1939,1098.142857,1055.5,971,1140
1940,1102.904762,1045.5,850,1241
1941,1101.904762,1211.5,1154,1269
1942,1105.642857,1134.5,947,1322
1943,1109.761905,1029.5,878,1181
1944,1115.857143,1027.5,935,1120
1945,1109.142857,1133.5,1176,1091
1946,1090.904762,1098.5,1040,1157
1947,1083.642857,1087,984,1190
1948,1085.595238,1157.5,1212,1103
1949,1079.52381,1042,930,1154
1950,1085.928571,1102,1165,1039
1951,1097.357143,1061,987,1135
1952,1091.97619,1098.5,1109,1088
1953,1095.119048,1128,1011,1245
1954,1090.904762,1173,1232,1114
1955,1097.571429,985.5,993,978
1956,1098,900,1038,762
1957,1091.642857,962.5,935,990
1958,1089.714286,1179.5,1187,1172
1959,1079.047619,1057.5,978,1137
1960,1076.119048,1190,1134,1246
1961,1064.97619,1285.5,1108,1463
1962,1060.047619,1098.5,892,1305
1963,1053.880952,1200.5,902,1499
1964,1035.452381,941,887,995
1965,1023.452381,1167.5,1215,1120
1966,1019.833333,1142.5,1126,1159
1967,1020.809524,965,837,1093
1968,1022.047619,1046.5,951,1142
1969,1011.166667,933.5,963,904
1970,1013.380952,980.5,973,988
1971,1007.428571,868,892,844
1972,1004.642857,957.5,1134,781
1973,1006.166667,969,1077,861
1974,999,741,748,734
1975,1000.452381,921,1036,806
1976,991.3571429,909.5,959,860
1977,982.2142857,920.5,843,998
1978,986.0714286,988.5,1029,948
1979,984.6190476,951,892,1010
1980,982.9761905,1104,924,1284
1981,976.8333333,1065,942,1188
1982,981.1190476,1227,1260,1194
1983,,1130.5,901,1360
1984,,1050,967,1133
1985,,971.5,993,950
1986,,976.5,1038,915
1987,,950.5,907,994
1988,,1046,1029,1063
1989,,1016,972,1060
1990,,899,914,884
1991,,851.5,868,835
1992,,958,1127,789
1993,,,,
1994,,,,
1995,,,,
1996,,,,
1997,,,,
1998,,,,
1999,,,,
2000,,,,
2001,,,,
